restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,categoria_preco,faixa_preco,latitude,longitude,fonte
3853354,Bistrô,"Salomão Ibrahim, 61A- Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,267,$$ - $$$,indef,-20.37971305847168,-43.41544723510742,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d3853354-Reviews-Bistro-Mariana_State_of_Minas_Gerais.html
2389655,Lua Cheia Restaurante,"Rua Dom Viçoso 58, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,275,$,indef,-20.380212783813477,-43.41716766357422,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d2389655-Reviews-Lua_Cheia_Restaurante_Ltda-Mariana_State_of_Minas_Gerais.html
2389650,Rancho da Praça,"Praça Gomes Freire, 108 Em frente ao Jardim, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,494,$$ - $$$,indef,-20.37908363342285,-43.417293548583984,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d2389650-Reviews-Rancho_da_Praca-Mariana_State_of_Minas_Gerais.html
2389609,Sinhá Olímpia,"Rua do Boqueirão, 2, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,99,$$ - $$$,indef,-20.39336395263672,-43.44282913208008,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d2389609-Reviews-Sinha_Olimpia-Mariana_State_of_Minas_Gerais.html
17154060,Flor do Jardim Cafeteria,"Travessa São Francisco, No 8 - Bairro: Centro Em frente a Praça Gomes Freire/ Na rua da Igreja São Francisco, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,5.0,32,$$ - $$$,R$ 2 - R$ 15,-20.378725051879883,-43.417213439941406,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d17154060-Reviews-Flor_do_Jardim_Cafeteria-Mariana_State_of_Minas_Gerais.html
5869308,Pizzaria Dom Silvério,"Rua Salomao Ibrahim da Silva 78 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,64,$$ - $$$,indef,-20.379804611206055,-43.41578674316406,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5869308-Reviews-Pizzaria_Dom_Silverio-Mariana_State_of_Minas_Gerais.html
8403999,Acai Brasil,"Travessa Sao Francisco 26, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,48,$,indef,-20.378896713256836,-43.4168586730957,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d8403999-Reviews-Acai_Brasil-Mariana_State_of_Minas_Gerais.html
5767700,Zalab,"Praça Da Estação 101 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,21,$$ - $$$,indef,-20.344829559326172,-43.29290771484375,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5767700-Reviews-Zalab-Mariana_State_of_Minas_Gerais.html
5868833,Restaurante Gaveteiros,"Praca Claudio Manoel Da Costa Athaide, 26 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,72,$$ - $$$,indef,-20.377805709838867,-43.4163818359375,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5868833-Reviews-Restaurante_Gaveteiros-Mariana_State_of_Minas_Gerais.html
4528842,Uai Zé Restaurante,"Avenida Getúlio Vargas 34A Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,27,$,R$ 12 - R$ 18,-20.37575912475586,-43.41643142700195,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d4528842-Reviews-Uai_Ze_Restaurante-Mariana_State_of_Minas_Gerais.html
7995186,Vila Real,"Praca Claudio Manoel, 148, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,19,$,indef,-20.344749450683594,-43.29245376586914,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d7995186-Reviews-Vila_Real-Mariana_State_of_Minas_Gerais.html
17720483,GAM Asian Bar,"Rua Direita N° 94 B, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,5.0,9,$$ - $$$,R$ 20 - R$ 90,-20.377920150756836,-43.41672134399414,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d17720483-Reviews-GAM_Asian_Bar-Mariana_State_of_Minas_Gerais.html
12643101,Cervejaria Inconfidentes,"Praça Gomes Freire, 40, Centro Em frente ao jardim no centro de Mariana, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,5.0,27,$$ - $$$,R$ 8 - R$ 63,-20.37880516052246,-43.41682815551758,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d12643101-Reviews-Cervejaria_Inconfidentes-Mariana_State_of_Minas_Gerais.html
6373440,Choperia Sao Pedro,"Rua Antonio Pacheco 672, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,29,$$ - $$$,indef,-20.382600784301758,-43.419559478759766,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d6373440-Reviews-Choperia_Sao_Pedro-Mariana_State_of_Minas_Gerais.html
12453316,Choperia Point 07,"Avenida Nossa Senhora do Carmo 07 Vila do Carmo, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,19,$$ - $$$,R$ 4 - R$ 70,-20.384689331054688,-43.423519134521484,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d12453316-Reviews-Choperia_Point_07-Mariana_State_of_Minas_Gerais.html
5368425,Casarao,"Praca Gomes Freire 92 At Da Conceicao, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.5,84,$,indef,-20.37889289855957,-43.41725540161133,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5368425-Reviews-Casarao-Mariana_State_of_Minas_Gerais.html
4525164,Restaurante E Pizzaria Barra Longa,"R Bom Jesus, 48 Barro Preto, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,21,$$ - $$$,indef,-20.372690200805664,-43.415950775146484,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d4525164-Reviews-Restaurante_e_Pizzaria_Barra_Longa-Mariana_State_of_Minas_Gerais.html
8193011,Subway,"Praca Gomes Freire 296 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,10,$,indef,-20.379140853881836,-43.41653060913086,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d8193011-Reviews-Subway-Mariana_State_of_Minas_Gerais.html
6631091,Maria Antonieta Brioches,"Praça Gomes Freire, 250A Piso Superior, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,25,$$ - $$$,indef,-20.379579544067383,-43.41669845581055,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d6631091-Reviews-Maria_Antonieta_Brioches-Mariana_State_of_Minas_Gerais.html
12105126,Gabarito Hamburgueria,"Rua das Violetas 12, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,8,indef,indef,-20.362262725830078,-43.4196662902832,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d12105126-Reviews-Gabarito_Hamburgueria-Mariana_State_of_Minas_Gerais.html
5869821,Restaurante Sabor Mineiro,"Rua Wenceslau Braz, 151 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,9,$,indef,-20.373884201049805,-43.417930603027344,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5869821-Reviews-Restaurante_Sabor_Mineiro-Mariana_State_of_Minas_Gerais.html
5755725,Scoth & Arte,"Praca Minas Gerais 57 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.5,22,$$ - $$$,indef,-20.37306022644043,-43.4161491394043,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5755725-Reviews-Scoth_Arte-Mariana_State_of_Minas_Gerais.html
5715804,Irmaos Empada,"Rua do Catete 147 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,8,$,indef,-20.3779296875,-43.41897964477539,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5715804-Reviews-Irmaos_Empada-Mariana_State_of_Minas_Gerais.html
4773090,Restaurante Del Rey,"Av. Getúlio Vargas, 4 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,11,$$ - $$$,indef,-20.375892639160156,-43.416534423828125,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d4773090-Reviews-Restaurante_Del_Rey-Mariana_State_of_Minas_Gerais.html
4537450,Cacau Show,"Praca Claudio Manoel, 12 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,11,$$ - $$$,indef,-20.345489501953125,-43.29343795776367,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d4537450-Reviews-Cacau_Show-Mariana_State_of_Minas_Gerais.html
5748453,Ponto Certo Lanches,"Praca Gomes Freire 256 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,6,$,indef,-20.375,-43.416873931884766,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5748453-Reviews-Ponto_Certo_Lanches-Mariana_State_of_Minas_Gerais.html
5370141,Ponto Do Tropeiro,"Rua Catete 324 Humaita, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,7,$,indef,-20.379430770874023,-43.41986846923828,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5370141-Reviews-Ponto_Do_Tropeiro-Mariana_State_of_Minas_Gerais.html
10469526,Pizzaria Chiara,"Praca Gomes Freire, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,10,$,indef,-20.37626075744629,-43.41674041748047,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d10469526-Reviews-Pizzaria_Chiara-Mariana_State_of_Minas_Gerais.html
12789380,Rústico Café e Tabaco,"Rua Direita 183, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,4,$,R$ 3 - R$ 36,-20.37643814086914,-43.41783142089844,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d12789380-Reviews-Rustico_Cafe_e_Tabaco-Mariana_State_of_Minas_Gerais.html
20246285,Bier Choperia,"Rua Do Catete, 215 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,5.0,2,$,R$ 10 - R$ 100,-20.378225326538086,-43.41910934448242,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d20246285-Reviews-Bier_Choperia-Mariana_State_of_Minas_Gerais.html
5378763,Bela Chiesta,"Rua Dom Vicoso 242 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,8,$,indef,-20.381959915161133,-43.417598724365234,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5378763-Reviews-Bela_Chiesta-Mariana_State_of_Minas_Gerais.html
7862745,Restaurante E Churrascaria Mariana,"Avenida Getulio Vargas 3 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,5,indef,indef,-20.375835418701172,-43.41681671142578,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d7862745-Reviews-Restaurante_E_Churrascaria_Mariana-Mariana_State_of_Minas_Gerais.html
12669284,Fábrica Pub,"Praça Gomes Freire, 278 Jardim, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.5,9,$$ - $$$,R$ 3 - R$ 35,-20.379301071166992,-43.41668701171875,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d12669284-Reviews-Fabrica_Pub-Mariana_State_of_Minas_Gerais.html
5753941,Sabor Arabe,"Rua Padre Goncalves Lopes 34 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,5,indef,indef,-20.377229690551758,-43.416259765625,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5753941-Reviews-Sabor_Arabe-Mariana_State_of_Minas_Gerais.html
5684608,Bar Lanchonete Irmaos Oliveira,"Praca Juscelino Kubitschek 44g Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,4,indef,indef,-20.373254776000977,-43.41645431518555,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5684608-Reviews-Bar_Lanchonete_Irmaos_Oliveira-Mariana_State_of_Minas_Gerais.html
4524275,Xororó Lanchonete e Pizzaria,"rua 16 de julho ,318 centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.5,17,$,indef,-20.37632942199707,-43.415809631347656,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d4524275-Reviews-Xororo_Lanchonete_e_Pizzaria-Mariana_State_of_Minas_Gerais.html
5349861,Barwania,"Rua Dom Silverio 123 Calhau, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.5,6,indef,indef,-20.379459381103516,-43.418460845947266,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5349861-Reviews-Barwania-Mariana_State_of_Minas_Gerais.html
5644553,Empadinhas Pode,"Rua do Catete 91 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,5,indef,indef,-20.377050399780273,-43.418312072753906,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5644553-Reviews-Empadinhas_Pode-Mariana_State_of_Minas_Gerais.html
11995528,Acai Brasil,"Rua Direita 183b, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,4,$,R$ 5 - R$ 50,-20.38577651977539,-43.50603485107422,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d11995528-Reviews-Acai_Brasil-Mariana_State_of_Minas_Gerais.html
5723363,Lanchonete Bocao,"Rua 16 de Julho 120 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,4,$$ - $$$,indef,-20.37628936767578,-43.416500091552734,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5723363-Reviews-Lanchonete_Bocao-Mariana_State_of_Minas_Gerais.html
8173732,Acai Minas,"Avenida Manoel Leandro Correa 159 a Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,3,indef,indef,-20.371633529663086,-43.417118072509766,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d8173732-Reviews-Acai_Minas-Mariana_State_of_Minas_Gerais.html
6169272,Porteira de Minas,"Rodovia Mg 129 Km 3,5 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.5,7,indef,indef,-20.33795928955078,-43.44070816040039,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d6169272-Reviews-Porteira_de_Minas-Mariana_State_of_Minas_Gerais.html
8246315,Botequim Sao Geraldo,"Rua Dom Silverio 26 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,2,indef,indef,-20.37877082824707,-43.41836166381836,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d8246315-Reviews-Botequim_Sao_Geraldo-Mariana_State_of_Minas_Gerais.html
6027378,Buffet Cafe Expresso,"Avenida Nossa Senhora do Carmo 673, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,2,indef,indef,-20.386119842529297,-43.424659729003906,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d6027378-Reviews-Buffet_Cafe_Expresso-Mariana_State_of_Minas_Gerais.html
15080232,Ateliê Meninas Arteiras,"Praça Gomes Freire 102, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,2,indef,indef,-20.379140853881836,-43.416481018066406,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d15080232-Reviews-Atelie_Meninas_Arteiras-Mariana_State_of_Minas_Gerais.html
5711065,Fonte Da Garapa,"Rua Antonio Faustino da Rocha 11 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,3,indef,indef,-20.37353515625,-43.4135856628418,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5711065-Reviews-Fonte_Da_Garapa-Mariana_State_of_Minas_Gerais.html
5743589,Pastelaria Do Bola,"Avenida Ns Do Carmo 3 Vl Carmo, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,3,indef,indef,-20.381500244140625,-43.420555114746094,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5743589-Reviews-Pastelaria_Do_Bola-Mariana_State_of_Minas_Gerais.html
5707371,Edmundo S Bar,"Rua Vereador Jose Bernardino de Souza 226 Rosario, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,2,indef,indef,-20.371891021728516,-43.41889953613281,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5707371-Reviews-Edmundo_S_Bar-Mariana_State_of_Minas_Gerais.html
8256561,Sanduiches Brasil,"Rua Frei Durao 208 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,3,indef,indef,-20.37755012512207,-43.416019439697266,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d8256561-Reviews-Sanduiches_Brasil-Mariana_State_of_Minas_Gerais.html
6007020,Armazem Dos Sabores,"Rua Bom Jesus 18, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,2,indef,indef,-20.373018264770508,-43.415958404541016,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d6007020-Reviews-Armazem_Dos_Sabores-Mariana_State_of_Minas_Gerais.html
5868466,Restaurante Rocha,"Av. Nossa Senhora do Carmo, 725 Vila do Carmo, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,3,indef,indef,-20.3864688873291,-43.42491149902344,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5868466-Reviews-Restaurante_Rocha-Mariana_State_of_Minas_Gerais.html
8203131,Mart Lanches,"Rua Andre Corsino 199 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,4,$,indef,-20.374109268188477,-43.41508102416992,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d8203131-Reviews-Mart_Lanches-Mariana_State_of_Minas_Gerais.html
5744177,Pastelaria Nunes,"Rua Mestre Nicanor 161 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,4,indef,indef,-20.37550926208496,-43.41788864135742,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5744177-Reviews-Pastelaria_Nunes-Mariana_State_of_Minas_Gerais.html
5670674,Aquarios Bar,"Praca Juscelino Kubitschek 18 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,2,indef,indef,-20.373254776000977,-43.41633987426758,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5670674-Reviews-Aquarios_Bar-Mariana_State_of_Minas_Gerais.html
5347075,Panela De Barros,"Rua Antonio Olinto 47 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,3,indef,indef,-20.376220703125,-43.4185905456543,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5347075-Reviews-Panela_De_Barros-Mariana_State_of_Minas_Gerais.html
5656499,Padaria Pao Nosso,"Rua Antonio Pacheco 405 S Pedro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,4,indef,indef,-20.38302993774414,-43.419189453125,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5656499-Reviews-Padaria_Pao_Nosso-Mariana_State_of_Minas_Gerais.html
5704006,Davianne Restaurante,"Rua Direita 38 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,2,indef,indef,-20.377840042114258,-43.41682052612305,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5704006-Reviews-Davianne_Restaurante-Mariana_State_of_Minas_Gerais.html
10233937,Chalezinho Choperia E Pizzaria,"Rodovia do Contorno, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,2,indef,indef,-20.365320205688477,-43.41497039794922,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d10233937-Reviews-Chalezinho_Choperia_E_Pizzaria-Mariana_State_of_Minas_Gerais.html
15329214,Xupisco Choperia e Petiscos,"Praça Gomes Freire,272, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,2,indef,indef,-20.3794002532959,-43.41659927368164,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d15329214-Reviews-Xupisco_Choperia_e_Petiscos-Mariana_State_of_Minas_Gerais.html
8246350,Lambarceria,"Rua Dom Silverio 352 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,2,indef,indef,-20.381710052490234,-43.419429779052734,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d8246350-Reviews-Lambarceria-Mariana_State_of_Minas_Gerais.html
5703853,Damazio Bar,"Praca Gomes Freire 286 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.5,5,indef,indef,-20.37925910949707,-43.41658020019531,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5703853-Reviews-Damazio_Bar-Mariana_State_of_Minas_Gerais.html
5653804,Padaria Campestre,"Rua Jorge Marques 265 S Sebastiao, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,3,$,indef,-20.364511489868164,-43.414024353027344,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5653804-Reviews-Padaria_Campestre-Mariana_State_of_Minas_Gerais.html
5868811,Restaurante Velho Barão,"Praca Claudio Manoel, 148 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,2,indef,indef,-20.344749450683594,-43.29245376586914,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5868811-Reviews-Restaurante_Velho_Barao-Mariana_State_of_Minas_Gerais.html
5869323,Panelão,"Rua Dom Vicoso, 40, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.5,2,indef,indef,-20.382413864135742,-43.41773986816406,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5869323-Reviews-Panelao-Mariana_State_of_Minas_Gerais.html
4527107,Restaurante E Pizzaria La Cantina,"R Amauri 244 Jardim Europa, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,5.0,1,indef,indef,-20.49697494506836,-43.45996856689453,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d4527107-Reviews-Restaurante_E_Pizzaria_La_Cantina-Mariana_State_of_Minas_Gerais.html
5394665,Tempero De Minas,"Rua Con Rego 129 Gonzaga, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.5,5,indef,indef,-20.38081932067871,-43.41849899291992,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5394665-Reviews-Tempero_De_Minas-Mariana_State_of_Minas_Gerais.html
8190053,Mc Dowell's,"Praca Gomes Freire 284 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,2,indef,indef,-20.37932014465332,-43.41659927368164,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d8190053-Reviews-Mc_Dowell_s-Mariana_State_of_Minas_Gerais.html
8249055,Ta Na Brasa Churrasquinho E Cia,"Rua do Catete 491 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.5,7,$$ - $$$,indef,-20.38104248046875,-43.42036437988281,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d8249055-Reviews-Ta_Na_Brasa_Churrasquinho_E_Cia-Mariana_State_of_Minas_Gerais.html
4528994,Ponto Do Marmitex,"Rua Antônio Faustíno Rocha, 3 Lj 8 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,2,indef,indef,-20.373525619506836,-43.413612365722656,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d4528994-Reviews-Ponto_Do_Marmitex-Mariana_State_of_Minas_Gerais.html
5328399,Restaurante Tradicional,"Rua Direita 178 Jd Serra Do Cafe, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.5,5,indef,indef,-20.37727928161621,-43.417781829833984,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5328399-Reviews-Restaurante_Tradicional-Mariana_State_of_Minas_Gerais.html
2389639,Engenho Novo,"Praça da Sé, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,5.0,1,indef,indef,-20.34477996826172,-43.29267120361328,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d2389639-Reviews-Engenho_Novo-Mariana_State_of_Minas_Gerais.html
5743461,Pastelaria Chinesa,"Praca Tancredo Neves, 89 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,3.0,2,indef,indef,-20.39961814880371,-44.336517333984375,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5743461-Reviews-Pastelaria_Chinesa-Mariana_State_of_Minas_Gerais.html
5390888,Restaurante Libio Do Gato Tempero Da Docarmo,"Rua Luiz Antonio Bastos 200 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,1,indef,indef,-20.375091552734375,-43.42100143432617,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5390888-Reviews-Restaurante_Libio_Do_Gato_Tempero_Da_Docarmo-Mariana_State_of_Minas_Gerais.html
7857566,Bar Do Gereba,"Rua Wenceslau Braz 448 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,1,indef,indef,-20.372629165649414,-43.41801071166992,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d7857566-Reviews-Bar_Do_Gereba-Mariana_State_of_Minas_Gerais.html
5741459,Pan Hagia,"Rua Wenceslau Braz 448 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,1,indef,indef,-20.372629165649414,-43.41801071166992,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5741459-Reviews-Pan_Hagia-Mariana_State_of_Minas_Gerais.html
7862748,Bar Restaurante Fundo de Quintal,"Rua Bom Jesus 614 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,1,indef,indef,-20.367477416992188,-43.41639709472656,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d7862748-Reviews-Bar_Restaurante_Fundo_de_Quintal-Mariana_State_of_Minas_Gerais.html
8240292,Salgados E Cia,"Rua Bom Jesus, 605 Lj a Barro Preto, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,1,indef,indef,-20.36762046813965,-43.41658020019531,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d8240292-Reviews-Salgados_E_Cia-Mariana_State_of_Minas_Gerais.html
5366172,Restaurante Pimenta Glacy,"Rua Dautro Filho 235 1 De Maio, Mariana, Minas Gerais 92900-000 Brasil",Mariana ,4.0,1,indef,indef,-20.375009536743164,-43.4140510559082,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5366172-Reviews-Restaurante_Pimenta_Glacy-Mariana_State_of_Minas_Gerais.html
5721801,Lanches Mais,"Rua Bom Jesus 173 Centro, Mariana, Minas Gerais 35420-000 Brasil",Mariana ,4.0,1,indef,indef,-20.37112045288086,-43.4161491394043,https://www.tripadvisor.com.br/Restaurant_Review-g303386-d5721801-Reviews-Lanches_Mais-Mariana_State_of_Minas_Gerais.html
